Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_019,POINT (21707 1461),21707,1461,23.62478060034433,68.43166854319803,50.0,50.0,Tugs_ship,1
target_021,POINT (21425 1686),21425,1686,23.599990585017338,68.45479816495072,50.0,50.0,Tugs_ship,2
target_022,POINT (21433 1690),21433,1690,23.599721431709625,68.45389733746168,40.0,40.0,Tugs_ship,3
target_023,POINT (21435 1698),21435,1698,23.59903277110465,68.45356000057815,60.0,80.0,Passenger_ship,4
target_027,POINT (21438 1764),21438,1764,23.593171952641182,68.45213584751303,70.0,90.0,Passenger_ship,5
target_100,POINT (19199 4179),19199,4179,23.33946666167358,68.624410446665,30.0,50.0,Tugs_ship,9
target_113,POINT (295 4836),295,4836,22.96391382148893,70.42614893169012,40.0,30.0,Tugs_ship,11
target_132,POINT (19566 4485),19566,4485,23.3177709703584,68.58356012862538,60.0,40.0,Tugs_ship,12
target_133,POINT (19571 4496),19571,4496,23.31689692504013,68.58293905828756,30.0,50.0,Tugs_ship,13
target_134,POINT (19578 4499),19578,4499,23.31673938092637,68.58221187740503,30.0,50.0,Tugs_ship,14
target_139,POINT (19841 4628),19841,4628,23.30936036709421,68.55455309207699,40.0,50.0,Tugs_ship,15
target_140,POINT (20412 4435),20412,4435,23.335971023015585,68.5030733275605,20.0,50.0,Tugs_ship,16
target_141,POINT (345 4904),345,4904,22.95863762989948,70.42005865493651,80.0,90.0,Passenger_ship,17
target_144,POINT (20103 5034),20103,5034,23.276932834690946,68.52212877115744,30.0,20.0,Fishing_Ship,18
target_147,POINT (19204 5238),19204,5238,23.244023710414066,68.60491803040894,110.0,120.0,Passenger_ship,19
target_148,POINT (19113 5237),19113,5237,23.24268339893123,68.61369175495045,210.0,50.0,Tugs_ship,20
target_149,POINT (19225 5255),19225,5255,23.242884701355592,68.6025554293882,20.0,70.0,Passenger_ship,21
target_154,POINT (3273 5623),3273,5623,22.94407310761548,70.12609525772629,40.0,10.0,Fishing_Ship,22
