Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_002,POINT (338 101),338,101,49.51903769627387,-123.45379471951642,56.25,62.5,Passenger_ship,2
target_003,POINT (336 111),336,111,49.51850254791685,-123.45410898942549,31.25,37.5,Tugs_ship,3
target_005,POINT (192 279),192,279,49.51055861892333,-123.46873560651287,37.5,43.75,Tugs_ship,5
target_006,POINT (186 279),186,279,49.51061888209386,-123.46928888446352,31.25,31.25,Tugs_ship,6
target_008,POINT (338 302),338,302,49.50793615784213,-123.45668188795612,56.25,168.75,Passenger_ship,7
target_011,POINT (2757 316),2757,316,49.48456929641329,-123.25102182370743,37.5,31.25,Tugs_ship,8
target_023,POINT (461 1058),461,1058,49.4649100457176,-123.45711435112659,56.25,37.5,Tugs_ship,9
target_027,POINT (1584 894),1584,894,49.46356484728962,-123.3591940918116,37.5,43.75,Tugs_ship,10
target_037,POINT (1155 1147),1155,1147,49.45353453111618,-123.39938769074736,68.75,62.5,Passenger_ship,11
target_038,POINT (2054 1133),2054,1133,49.445933497704296,-123.32271819563196,50.0,31.25,Tugs_ship,12
target_041,POINT (3089 1250),3089,1250,49.4297000934379,-123.2365411374494,43.75,37.5,Tugs_ship,13
target_045,POINT (658 1573),658,1573,49.43459355266136,-123.44774089943995,25.0,18.75,Fishing_Ship,14
target_046,POINT (657 1643),657,1643,49.43069929269136,-123.44884240471049,62.5,50.0,Tugs_ship,15
target_049,POINT (1533 1473),1533,1473,49.431987972303155,-123.37197784743515,43.75,31.25,Tugs_ship,16
target_052,POINT (2763 1485),2763,1485,49.41975850299594,-123.26762764226964,37.5,75.0,Passenger_ship,17
target_062,POINT (397 2216),397,2216,49.40140912734547,-123.47917612593358,37.5,31.25,Tugs_ship,20
target_064,POINT (314 2400),314,2400,49.39199475808086,-123.48891344606292,31.25,31.25,Tugs_ship,21
target_065,POINT (448 2489),448,2489,49.385820127055176,-123.47877144191034,162.5,156.25,Passenger_ship,22
target_067,POINT (840 2325),840,2325,49.391267765545216,-123.44312370397509,37.5,31.25,Tugs_ship,23
target_070,POINT (670 2354),670,2354,49.39120995010325,-123.45798565371014,50.0,50.0,Tugs_ship,24
target_075,POINT (2620 2302),2620,2302,49.37590425818159,-123.29173793792248,31.25,43.75,Tugs_ship,25
target_077,POINT (2617 2402),2617,2402,49.37039574579365,-123.29345271072727,31.25,31.25,Tugs_ship,26
target_085,POINT (448 2492),448,2492,49.38563096241228,-123.47886419016778,156.25,137.5,Passenger_ship,27
target_086,POINT (249 2583),249,2583,49.38243660852631,-123.4970662323588,43.75,112.5,Passenger_ship,28
target_088,POINT (428 2836),428,2836,49.36679635756585,-123.48549775895992,68.75,18.75,Fishing_Ship,30
target_090,POINT (767 2597),767,2597,49.37688805512133,-123.45328438035885,81.25,81.25,Passenger_ship,32
target_091,POINT (781 2680),781,2680,49.372162495773686,-123.45329129397464,43.75,68.75,Passenger_ship,33
target_093,POINT (770 2702),770,2702,49.37104164999346,-123.45449944655523,62.5,56.25,Passenger_ship,34
target_094,POINT (555 2710),555,2710,49.372568340964,-123.47291431479059,31.25,87.5,Passenger_ship,35
target_096,POINT (616 2850),616,2850,49.364278698469285,-123.4697433458614,31.25,43.75,Tugs_ship,36
target_097,POINT (1054 2746),1054,2746,49.365963141582526,-123.43103169808724,50.0,93.75,Passenger_ship,37
target_098,POINT (1047 2756),1047,2756,49.36545168185883,-123.43181961405224,68.75,37.5,Tugs_ship,38
target_099,POINT (2744 2595),2744,2595,49.35851203481288,-123.28549693969292,31.25,31.25,Tugs_ship,39
target_101,POINT (2841 2661),2841,2661,49.35391008608842,-123.27819925277383,37.5,50.0,Tugs_ship,40
target_109,POINT (438 2869),438,2869,49.364876426982285,-123.48512322663444,43.75,31.25,Tugs_ship,42
target_110,POINT (433 2979),433,2979,49.35880426239929,-123.48713530387731,31.25,37.5,Tugs_ship,43
target_111,POINT (616 2850),616,2850,49.364278698469285,-123.4697433458614,31.25,43.75,Tugs_ship,44
target_112,POINT (619 2953),619,2953,49.35851998420539,-123.47097778731536,43.75,37.5,Tugs_ship,45
target_113,POINT (626 2965),626,2965,49.35781833757287,-123.47054922651466,43.75,56.25,Passenger_ship,46
target_115,POINT (708 3113),708,3113,49.34886340381632,-123.46572138142395,68.75,118.75,Passenger_ship,48
target_116,POINT (1119 2855),1119,2855,49.35932623470213,-123.42713217484764,31.25,31.25,Tugs_ship,49
target_120,POINT (2529 2860),2529,2860,49.34583327666415,-123.30760613685094,81.25,87.5,Passenger_ship,50
target_121,POINT (2534 2943),2534,2943,49.3412135869974,-123.30834268937872,25.0,31.25,Tugs_ship,51
target_122,POINT (2537 2969),2537,2969,49.33975049572379,-123.30850982024783,31.25,68.75,Passenger_ship,52
target_123,POINT (3025 3034),3025,3034,49.331548578837506,-123.26804338246859,62.5,56.25,Passenger_ship,53
